galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
NGC4389,full,6,5.32,18.0,0.22032218110582658,0.05835502633789284,0.04034923596102748,0.06824804992599318,30.83601097105242,7.817787499310857,0.7225707245150886,0.5518527083088045,0.8225509547170289
UGC00634,full,4,18.01,30.9,1.140177396071047,0.07621692695781812,,,56.0628380399463,3.727293254555306,2.3649400906003546,1.9805313514308636,0.8643526973164865
UGC11557,full,12,10.56,24.2,0.20460055568372987,0.09858642117185978,0.08475197482430066,0.10969474675053142,17.624525775438943,8.22555423678607,1.3322592151631834,0.7538923540836939,0.5568889070177325
F574-2,full,5,10.83,89.1,0.12754333134627308,0.12146069684409774,0.10912150124385407,,4.616885234748176,3.5440932949775523,0.9094981333731825,0.8121961106410625,0.8558752083801702
NGC4051,full,7,12.19,18.0,0.17988170999494263,0.1350097340149614,0.1032062900015246,0.08113969768331375,28.972361706366282,23.299986926450682,1.137227889396346,0.8360962952284848,0.7489341761234041
UGC06923,full,6,5.16,18.0,0.5013619160774951,0.1528509311675187,0.11773000062464473,0.01897325990722961,29.909217998922873,9.024559967546447,1.7078965019690764,1.2469815301559737,0.6825984098163396
NGC4085,full,7,6.2,18.0,0.2011844869210626,0.15524798583543828,0.0581588875885976,0.1749913960313037,28.997100013674984,22.308617279155566,1.2000507192533567,0.8278735967004076,0.6265317946504455
NGC4138,full,7,18.58,18.0,0.42124217892781946,0.1692820523679766,0.025747235308182622,0.1338983283455551,54.33475687715879,20.706864695960085,1.4366780967880848,1.150722981067453,0.740770134614993
F567-2,full,5,9.59,79.0,0.5155134231441757,0.17046089380061777,0.1358833952258476,,17.190545771676334,5.3714462742876385,1.5718464320457821,1.2894360838641987,0.844158672326759
UGC02455,full,8,4.03,6.92,0.21927197902546958,0.1827083102616646,0.1359516473917914,0.06533846580851879,16.45454531949411,13.054409778710811,0.7900450583150185,0.4640513523855526,0.6588318786413794
UGC08837,full,8,4.2,7.21,0.42207846492638806,0.18317769680782828,0.2155139446693736,0.1365739517483855,11.844997752219214,3.866356069911581,1.5032399920645314,1.0952341026159707,0.7976643117858132
UGC05999,full,5,16.22,47.7,0.8944566702056012,0.19503118824109622,0.03453070263904841,,44.38249498913313,10.257635605416317,2.0347966514552627,1.750612881246101,0.8001963188341011
NGC5005,full,18,11.47,16.9,0.39790165712716213,0.2126452024941573,0.24498574268480708,0.17025871946794455,120.04991688055793,63.28567187614845,1.7148767032163807,0.8222555795259072,0.46772949123299656
UGC07232,full,4,0.82,2.83,0.4769008216057755,0.21999000337159222,,,11.358816737306466,4.505078106963624,1.4874889049399003,1.1523357808612062,0.8571588746088962
NGC3949,full,7,7.07,18.0,0.2767818696624383,0.22132595150213463,0.10951572623023889,0.04904233622050179,47.437767878185156,39.93908458836251,1.2082038018480916,0.8216715211780866,0.6188007474579625
UGC02023,full,5,3.78,10.4,0.38564175968213465,0.225405088982459,0.26368941245590705,,12.916908636958325,6.094557004551637,1.3983318455101135,0.9974492450653072,0.831367858104023
UGC09037,full,22,27.96,83.6,0.5651232708229771,0.22794111248137236,0.2005104338580742,0.2099918605871783,78.71277941748318,32.39139858591873,2.111315821455738,0.996312321777184,0.44731184556948855
NGC4068,full,6,2.33,4.37,0.3641697505213707,0.2314971487990869,0.317889699655251,0.07824387353748258,7.854026906067458,2.4764704012863747,1.3662286766743443,1.0669378716083961,0.8487725567552629
UGC06917,full,11,10.47,18.0,0.7992751186340452,0.23413682574234415,0.19931781531533374,0.2475454805814192,53.28137418660377,15.49735610645132,2.1798713982267666,1.4670013311527366,0.6973300890926678
IC4202,full,32,25.9,100.4,0.4086598744356282,0.23565169829782878,0.29017112877497175,0.13766680022857258,87.24130427039411,49.79081073610852,1.4828013927343104,1.0504627718973865,0.6921321879170816
F561-1,full,6,9.66,66.4,0.2899659283835891,0.24125264337531732,0.1763933363357437,0.16407274097802294,11.050535325064855,9.995845776478532,1.122593900317927,0.9626497613401533,0.7711955272549336
UGC06628,full,7,7.69,15.1,0.31850558299665055,0.24388441759076956,0.29455711914445865,0.057134760888627,11.26874205663547,8.111587901194932,1.2541597952590486,0.8644471804230079,0.657757041370662
DDO170,full,8,12.33,15.4,1.1134328414400867,0.2462189146111792,0.2655835562916408,0.15336758135504538,32.31978520353857,6.0173092214096044,2.4917884391117657,1.7973096062325626,0.7582339518600831
UGC07559,full,7,2.53,4.97,0.6538465187855453,0.24751344338109282,0.2647025168310551,0.15461464383540352,12.660825129986407,4.001098646667509,1.9520041666450239,1.3195608679816018,0.6581300393995905
UGC00191,full,9,9.98,17.1,0.860860602578342,0.24952630010204518,0.24842417427552785,0.2347698459079264,34.14096102822182,8.619560546677727,2.165704289660985,1.5913010282942333,0.7260414188670581
NGC6195,full,23,36.43,127.8,0.3865390111456944,0.25128989776555793,0.26446392913808164,0.17847029124004138,107.25163077275813,71.34046613643825,1.5239356071240109,0.8491983719316956,0.5176571145374816
NGC3877,full,13,11.35,18.0,0.2754981864561418,0.2541979364114908,0.20039150025429975,0.05616391870191497,38.11852832804601,37.098101136683844,1.06442077473889,0.8612549893371314,0.7429242688290194
NGC3953,full,8,15.68,18.0,0.3192217763947182,0.2600817959653712,0.32364756556474406,0.1464966927478752,68.84299879761507,56.38458439038845,1.2364781276079306,0.9197483238749501,0.7249967838664759
UGC07690,full,7,4.13,8.11,0.6902207595711364,0.26073666696209535,0.21624227007234972,0.18490956122320085,29.852781463095866,11.474703760108946,1.9862895011711497,1.2725826990798674,0.5499103583916134
UGC04499,full,9,8.18,12.5,0.8442381388297421,0.2659941526073939,0.2234643066157159,0.3098178171399442,36.295445829024764,10.909736517015185,2.272981817348203,1.4843747654867467,0.6078637922529904
CamB,full,9,1.79,3.36,0.2808367297077699,0.2661857968007544,0.22339159417105364,0.20645619887234817,3.987744697750357,3.6318019495565137,1.1646715339295635,0.6520835906036206,0.6814335721938094
UGC09992,full,5,3.89,10.7,0.5557847638578933,0.27421335289500043,0.3520057769126417,,13.680779922208744,6.089087906485326,1.636058130837611,1.217104341541153,0.7270123210407241
UGC07151,full,11,5.5,6.87,0.8071548724065443,0.2759525562318588,0.36422508627495553,0.08211307755253544,40.187306069591244,12.229806615328958,2.554532436601547,1.295399332886632,0.49751185196760933
F571-V1,full,7,13.59,80.1,1.1692358540450307,0.2782737415812525,0.3562194043312911,0.04021745790083246,46.5260894796354,10.244197108813134,2.7560427990601073,1.856139169723246,0.6580054875963798
UGC06973,full,9,7.85,18.0,0.2869353372214934,0.2835612338130318,0.11176308639328474,0.24072604217473434,62.80959731606107,61.54379324591857,0.9283489000885432,0.7799478580444084,0.7001753882567561
D512-2,full,4,3.83,15.2,0.8009252788330731,0.28875500884765887,,,15.739525910916184,4.636812716993096,1.8599340532447148,1.5871031471453856,0.8636973058908961
UGC00891,full,5,7.39,10.2,1.1560419872450856,0.28960026866488947,0.13359494075143002,,31.513740919487766,8.114963848854096,2.515339977643134,1.820100719219545,0.7400582090536039
UGC02885,full,19,74.07,80.6,0.9563928209116527,0.2936853529582585,0.24527436389889706,0.3104381201502914,211.66580561808794,66.1758870466356,3.5996388828896997,1.234867751072914,0.3309737165606001
NGC4217,full,19,16.72,18.0,0.4032011116535199,0.29502500267427667,0.12901368646139352,0.29073268831094795,70.47304178835539,56.86786073496521,1.3440262355476418,0.8863775252602303,0.575427958114937
UGC06930,full,10,16.61,18.0,0.7810379818962734,0.2982303310050774,0.2752940278974048,0.25031670336021694,52.88795338499583,19.279293899284404,2.0319255919850963,1.4292791043124742,0.6848310249751988
UGC01230,full,11,36.54,53.7,1.2155283572070088,0.3007084451391652,0.3365634173170265,0.18016535783756665,65.72341240323173,13.110733471680005,3.108430261013956,1.851603202238222,0.5813853420959253
NGC4088,full,12,21.48,18.0,0.36972216740450753,0.30174228403732345,0.30134780581964277,0.21297493756408856,66.30274116991862,58.5322058847107,1.254675617153677,0.7659700912409035,0.5075340288238077
UGC07323,full,10,5.82,8.0,0.5317864475225396,0.3039533120584317,0.3766949219013273,0.16749465858093743,25.44545104961831,10.024474471982462,1.595301385370982,1.1286548634271436,0.6344516114454068
UGC05750,full,11,22.85,58.7,0.7686542274416142,0.3056185798612873,0.3306086640354793,0.14103149485537061,26.635139155929146,7.150794707512771,1.9016936978849037,1.588137697106196,0.7505165010864182
UGC05414,full,6,4.11,9.4,0.6822905860101722,0.30625615021291325,0.3283316196021067,0.2204991759413236,24.62403254076002,9.826751001002435,1.95387318927052,1.296452652930446,0.6352383245269753
NGC3893,full,10,19.05,18.0,0.5795227488248047,0.31234580076366963,0.12091359528030061,0.08424862415297324,87.62660696218768,51.06909694577575,1.7086455438869173,1.0810379357165472,0.5187815209380902
UGC07866,full,7,2.32,4.57,0.7546603581766129,0.3162621643870566,0.41732605140695905,0.027225497157147737,13.051463856590038,3.80430404586832,1.9704279576619619,1.3819437251299584,0.690216544745775
UGC07089,full,12,9.16,18.0,0.647700159840402,0.31722049143625564,0.4049089885755424,0.19306872145759776,30.601248118238225,11.190885046125654,1.8685985294692602,1.2252455032274123,0.6715407783960918
F563-V1,full,6,7.87,54.0,0.4169511815247252,0.3280116050293311,0.40912731167369787,0.059388575763089736,7.364606155837846,5.0282874533426325,1.275927670311698,1.0041932328839243,0.7503735128871936
UGC06399,full,9,7.85,18.0,0.960018707958822,0.33638499159185564,0.3653763003459795,0.26018281766790946,41.38066933971168,11.001751641498778,2.29051174762866,1.6394975969353152,0.6737377119489687
NGC0300,full,25,11.8,2.08,1.215476637221516,0.336422880707891,0.2818271555828671,0.3787688938157909,57.57553911620294,15.959270802840601,3.1759266057081863,1.6875262972073692,0.5039954550809894
NGC3972,full,10,8.72,18.0,0.5646576040974595,0.33703149442898206,0.31456949549984253,0.13421403017921094,45.77652018655775,24.964499727750827,1.5665706756193858,1.201844564922058,0.733305856345938
NGC3992,full,9,46.02,23.7,0.6793992627504173,0.3495922034993168,0.19171699663813802,0.3536095354355231,127.28259569449088,64.84459352086873,1.8049683187943573,1.2367729039989568,0.6079260634354564
UGC05005,full,11,28.61,53.7,1.0761076118614725,0.35486155435707645,0.36403034399947126,0.22844003605201021,49.52258049544495,13.644775161986463,2.819192122777199,1.488082887810022,0.5615157493780495
UGC04305,full,22,5.52,3.45,0.44101359845878113,0.3599089145793873,0.38808701627249714,0.0954435134014449,12.510051520828634,9.88805322441109,1.3478889244662273,0.8904250617944882,0.6314080918111111
NGC3917,full,17,14.86,18.0,0.6472107497638863,0.36192864234120853,0.48232173170942577,0.12893934492440007,56.59419389245373,24.745574511775125,1.7697283989754375,1.2323263903016004,0.705010722646206
NGC2955,full,24,35.43,97.9,0.4814293553365491,0.362625130468406,0.35708061183567064,0.35787768395718583,123.32756564048518,93.18282801542087,1.522097583552965,0.8625363256593539,0.467612040883105
NGC0891,full,18,17.11,9.91,0.5097305719428608,0.36566001381779606,0.29143199039312284,0.26567344842243046,122.79340392414765,97.74183516143886,1.6074382126195903,0.8524894747158472,0.39379925574736674
NGC3521,full,41,17.74,7.7,0.5270147139983387,0.3707077493903142,0.2130057548879003,0.48130213654264503,118.41437151795131,75.53604194229203,1.888406032430689,0.7851944974790988,0.37385532705164953
NGC6946,full,58,20.4,5.52,0.6905777937937038,0.3758861634361582,0.2751759483859549,0.40480923676080344,112.56983746410206,62.09650354987296,2.623458018677446,0.9391161253223281,0.30288456221726445
DDO168,full,10,4.12,4.25,1.0353743625045622,0.3822221978191098,0.40737769543915964,0.3058939365388077,28.000398956790153,9.348795106980344,2.6174895567889434,1.7129784349800468,0.6180913500641283
NGC4559,full,32,20.97,9.0,0.8209069579328286,0.38576028286567404,0.18869728073686437,0.2489215935785615,76.10123469892439,35.93612490391189,2.715920248194318,1.166062811936749,0.3713579721788619
NGC2366,full,26,6.06,3.27,1.0812200951959277,0.3860679517645084,0.49535568053018325,0.2183442475635184,30.76682059157076,8.07414764385089,3.365737404578259,1.6157623641044934,0.4525020824699494
UGC11455,full,36,41.93,78.6,0.6244534960639488,0.3866380752181236,0.3468234787546648,0.40863755629514337,154.3795235228931,93.75588185350783,2.2717316317629628,0.8738037112344957,0.3134273251202928
UGC06818,full,8,6.98,18.0,0.7598899863134212,0.39058708818497206,0.2765893266347183,0.15879471571039935,31.29697810273251,15.918090027770736,2.048833784665444,1.3035902674773259,0.6123441793991754
NGC2976,full,27,2.27,3.58,0.43752080030005763,0.3909068748676697,0.3688170267379532,0.17627904259725397,17.263125823538378,15.421562245860615,1.1653052193964037,0.9552944041613751,0.6294242083713
UGC07577,full,9,1.69,2.59,0.4011119739426384,0.39651890602666773,0.5173379801868645,0.08079055870494026,2.3993751733299558,2.3762676293192606,1.0301320690521516,0.8800957900398471,0.8565767083788274
UGC10310,full,7,7.74,15.2,0.8622940518244212,0.4098316077593148,0.45314121571619614,0.09610316042101583,32.71673906280702,11.14326501673222,1.9486941125701358,1.5400422527923547,0.7575823392622588
NGC5985,full,33,34.72,39.7,0.913411708923673,0.4140737361200081,0.4575818805499733,0.3058603390909016,182.68779727119866,80.31569345633343,2.4845862316930294,1.3804891868485107,0.49803772081180603
NGC7793,full,46,7.87,3.61,0.7992550178424096,0.4182129065819229,0.3233182756891071,0.42002020281984903,61.40928544110351,30.958871959569944,3.500818708478131,0.9941730802439515,0.206165076998431
IC2574,full,34,10.23,3.91,0.9706294780307362,0.41845196116533123,0.4404853370579216,0.22928519529074562,26.979740226808133,9.210446856943806,2.2553754499620124,1.58319326387408,0.6937105546769373
UGC12732,full,16,15.4,13.2,1.4728194198030014,0.41957529273517785,0.4750676879831915,0.1269177004280152,57.752557979595565,13.593738936318413,3.781922762268993,1.9960877436412603,0.5325116825981093
NGC4010,full,12,10.47,18.0,0.6056973728510847,0.421551641858396,0.4798426240508522,0.31178549197733346,51.989889539432156,30.77563774654233,1.7394996328181616,1.1642467942689945,0.5986278375565961
NGC3726,full,12,32.52,18.0,0.633528832350047,0.42217023612222,0.29558423462804445,0.4374672540514537,82.67415169790172,58.906000027817484,1.6968248939489334,0.9333150393258629,0.5599348805309114
NGC0801,full,13,59.82,80.7,0.8338691294619645,0.4256909745318205,0.3468698504325819,0.2047173996142986,181.57451487155558,95.15334449076427,5.735637401878405,0.9129144225063438,0.11382284775515335
NGC5371,full,19,46.24,39.7,0.6132956757922859,0.4270753041120606,0.27320836065331267,0.5351255096783544,141.21763514550267,91.07547489257809,2.145611043094224,0.8833381896545248,0.3448874833378892
NGC7814,full,18,19.53,14.4,0.7967264712343763,0.42890413254615173,0.21387598056106794,0.3640674943106077,135.1444558881281,76.84542335910054,2.1081475941154126,1.2087694537299216,0.47183059658550097
F565-V2,full,7,8.8,51.8,1.6502071164650491,0.4325543220729815,0.38751650097193785,0.3689548168999647,44.274701173214474,9.993605617450498,3.15808162736619,2.443422117643127,0.6825642389433132
NGC5907,full,19,50.33,17.3,0.8327744555001894,0.43593514129690353,0.31080391938716956,0.33539860980414704,142.60249061966763,77.09315365093991,2.364523066154228,1.202724089818346,0.45361577613443915
NGC0055,full,21,13.5,2.11,0.8836398542522849,0.4384821616386991,0.30244564419331255,0.464337082861803,48.265496608970615,24.437241479258592,2.450825417031034,1.4624712390376278,0.4406595007209242
UGC07399,full,10,6.13,8.43,1.7259145893391827,0.43919846660276285,0.49775653813785675,0.2795337955870788,69.18654957585795,17.595914515753236,4.148393231538247,2.277029741002477,0.5478110989791471
NGC0100,full,21,9.62,13.5,0.9706875112502871,0.4398529046548769,0.2847276927104389,0.5537819582774157,46.57934383272398,19.543960399275026,2.60485270254752,1.4058227673508679,0.4878364582971849
UGC04483,full,8,1.21,3.34,0.9737341863601339,0.44476605015240983,0.5531177081893175,0.28796386333212426,12.332190523989501,4.124978123847017,2.586692274724156,1.5129293519112528,0.5207781191008738
NGC1090,full,24,30.09,37.0,0.8940862886371558,0.44562975057683507,0.3026668525181646,0.43929370267035844,124.90677504450711,60.57341047489554,4.287992123999732,1.04622948480631,0.1916903671061975
ESO079-G014,full,15,16.67,28.7,0.796701312370403,0.450351462516594,0.42755692776048243,0.28422216950387297,76.67767809924939,34.67604499589327,2.2180669730978866,1.2444586053601563,0.3586528650991743
ESO563-G021,full,30,42.41,60.8,0.9719367985644802,0.4505608504985996,0.39481309435585993,0.494758217279149,223.8877789093722,98.819675625478,4.436081501289801,1.1560441979659863,0.1936200461089438
NGC4100,full,24,22.76,18.0,0.7568284440654007,0.4585249463625989,0.41486187884355474,0.34042421259740274,106.72653771625801,71.3555371736699,1.9711703984937778,1.187410123014324,0.41276246419770946
